company,website,industry,company_size
Braintrust,http://www.usebraintrust.com,"Technology, Information and Internet",11-50 employees
"e2f, inc.",https://e2f.com,Software Development,51-200 employees
Amazon,https://www.aboutamazon.com/,Software Development,"10,001+ employees"
Cognizant,https://www.cognizant.com,IT Services and IT Consulting,"10,001+ employees"
Capgemini Engineering,https://www.capgemini.com/about-us/who-we-are/our-brands/capgemini-engineering/,Engineering Services,"10,001+ employees"
Expedia Group,https://careers.expediagroup.com/,Software Development,"10,001+ employees"
SkillSpout,https://skillspout.com,IT Services and IT Consulting,2-10 employees
EvenUp,https://www.evenuplaw.com,"Technology, Information and Internet",201-500 employees
